order_id,customer_unique_id,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,Order_Gap
010d14f76a229c295260e4ca4744acc7,cb8fde758b25902db18315240ebd9b07,delivered,2017-12-01 19:46:00,2017-12-18 16:43:00,2017-12-29,17.0
01ba9a2e5dcc1568b55695106d677b0c,97258e1c1f77f32358eccd1c9ee5954d,delivered,2017-02-26 22:28:00,2017-03-06 14:22:00,2017-03-20,8.0
01e71f17355fc56620b0d3678f796c42,e90a1b194724309bbaa6228c398d1748,delivered,2018-04-18 22:19:00,2018-05-22 21:12:00,2018-05-18,34.0
022d47e6dd2e127493b8f51c8408078c,4dfa53e424b44b9dcb3965683078712d,delivered,2018-01-13 17:33:00,2018-01-22 17:10:00,2018-02-05,9.0
0231382a78f19752dabca6a86b618152,72061fff095d8325b311ea24e2f4a2b5,delivered,2017-03-09 21:17:00,2017-03-23 12:42:00,2017-03-28,14.0
0256530d814cde05587fcd8e1b992bc8,74c286ab8cc161142213780711964b06,delivered,2017-09-28 23:57:00,2017-10-27 19:42:00,2017-10-26,29.0
0286e258217733541e80588e29c208c1,2cac9c1a43808ace14f1598744f4a28a,delivered,2017-10-08 20:37:00,2017-10-21 00:34:00,2017-11-13,13.0
02cdf0f2b05845468fdf0c104e24ae17,66d201c13937598dd4e036788a10a203,delivered,2018-08-17 23:24:00,2018-08-30 15:37:00,2018-09-28,13.0
030e234a82944425a6f46d5b2552b848,3c9e98b59c61b1ccdba1108eca8c61d4,delivered,2017-03-06 16:37:00,2017-03-30 14:48:00,2017-04-06,24.0
03104945dce5c57f748dbb3dbd62daeb,46dd28b3f7e33b789acf42d3093b7773,delivered,2018-06-27 22:22:00,2018-07-10 16:41:00,2018-07-20,13.0
031cf625cad56f5761e51c2675f0c0ae,1b9872e035e88fc720548cc74a815a46,delivered,2017-03-18 06:52:00,2017-04-04 08:36:00,2017-04-27,17.0
032a25a524b766bdb806500361630bea,07187f9425311d0bd2a5451169bb8c3c,delivered,2018-07-11 17:59:00,2018-07-25 23:21:00,2018-08-13,14.0
034d69957b2269cb4e06b31561b64973,34502bdbecbd6a3b1dd162fe201556dd,delivered,2018-06-04 15:22:00,2018-06-19 13:48:00,2018-07-13,15.0
036dd381dfb3ec75e0a63e14828cc871,859a9b67726d9c9306eb28b8938c59a0,delivered,2017-09-04 22:25:00,2017-09-13 20:36:00,2017-09-27,9.0
03dec253b6e471bd5b0653cc53b79e95,f794c59a46dc4872d97d173c1b51525a,delivered,2017-06-27 10:49:00,2017-07-06 14:05:00,2017-07-19,9.0
0413fe9eb0eb4aee51ef3065e9c91aa3,866c923cde750dfc8cfbcf9d5ced0ee4,delivered,2017-06-30 11:27:00,2017-07-11 23:27:00,2017-07-26,11.0
048beca6ccda094fb80bbc704d7c493d,fa30145b07cad8e972bea351a65216f4,delivered,2017-04-28 13:36:00,2017-05-25 10:04:00,2017-05-22,27.0
04af00b2ad7756ba45549af1e832d8da,18057955f3a6909f6fc6cf564179b6cf,delivered,2017-12-05 21:01:00,2017-12-13 20:43:00,2017-12-21,8.0
052121d17f8eab43c577497c9b1451e2,f807403776737da279aba36583afa4df,delivered,2017-09-13 21:51:00,2017-09-20 21:02:00,2017-10-02,7.0
0550cddd79cea841641e17c802d9c403,6cd042e0832c40d2eebf82b2521a8487,delivered,2017-08-09 16:57:00,2017-08-14 11:25:00,2017-08-22,5.0
058ac520863d0c0d57e3cf920de368d4,f422964d43fc7ecdc3e51443af0705f9,delivered,2018-05-21 23:17:00,2018-06-05 14:06:00,2018-06-08,15.0
05c3b5a011d47cd6cd88d4c5d6c15b90,c55681552ac6922a276fb013d773881b,delivered,2017-07-03 16:21:00,2017-07-07 14:51:00,2017-07-26,4.0
05c5f6468206cec16a8c99f231bbbe86,1bc9b2dad6aefbfbc011508e34c8adfc,delivered,2018-04-29 21:30:00,2018-05-07 20:17:00,2018-05-30,8.0
05f3fc274d71ebbd552966d716c9039d,f807403776737da279aba36583afa4df,delivered,2018-05-11 18:36:00,2018-05-16 18:08:00,2018-05-22,5.0
062682155c454b125c630e1deebff4ea,aaea7e9a2d2432c24a03eb74cc430c8a,delivered,2018-04-24 07:56:00,2018-05-02 19:23:00,2018-05-14,8.0
06375e8bcbe64fb1da3b499fa42a7991,0c4f8b6f80f0dbddbdce3882d2242be9,delivered,2018-02-26 09:34:00,2018-03-15 17:42:00,2018-03-21,17.0
064895b0b58ab3f84d9d3b0a2b800205,56b6eede1b10925212f054a7ba614796,delivered,2017-09-05 01:11:00,2017-09-14 20:35:00,2017-09-27,9.0
066daea9ca27bdce0b0ef5e832427b6d,e6fe68d7c7867dac3659cb4a8e06880c,delivered,2017-07-10 22:39:00,2017-07-17 20:33:00,2017-07-28,7.0
06b5d30491b14242caca6d7090f29771,e2c44993145bac31c5c48b620e3f40f0,delivered,2018-06-07 12:16:00,2018-06-18 22:33:00,2018-07-25,11.0
06bd462509d378184b5aedc7d5ab4a18,6e8180fd61b4280c3d74dc2056256940,delivered,2017-11-15 22:29:00,2017-12-04 23:56:00,2017-12-07,19.0
06be8b2c2a6e818814aa5416c3512ca3,10d5890ed5e7ec78a7db23b5ac579b17,delivered,2018-07-23 22:05:00,2018-07-30 12:48:00,2018-08-14,7.0
0713892246596f649555ebebe57a9a7b,12d1cda209613cd60b9d242181be7077,delivered,2017-11-03 19:23:00,2017-11-14 19:03:00,2017-11-23,11.0
0743d4433cd56bbd7b36287a05f94e10,c573caf2e2c12c731885273e03dc5471,delivered,2017-06-07 21:55:00,2017-06-16 14:25:00,2017-06-21,9.0
07f6c3baf9ac86865b60f640c4f923c6,14843983d4a159080f6afe4b7f346e7c,delivered,2018-03-02 17:47:00,2018-04-17 17:17:00,2018-03-22,46.0
080353b05fa842120b49deabe1613a37,d40aaaf342e2e82da754042ef4f0dcca,delivered,2017-07-03 15:48:00,2017-07-19 19:54:00,2017-08-04,16.0
08523d94685d7c7efc1381136873cab3,9f19c80b64945cd7abd1fb91ff5157a7,delivered,2017-11-17 00:49:00,2017-12-05 11:38:00,2017-12-14,18.0
087a1c1dfd41b68ab6a6cd8551147bb2,2a86852b89b186bb8aed750efd95ce73,delivered,2018-07-30 14:06:00,2018-08-13 16:38:00,2018-08-07,14.0
087a5caa838085de4baa54e02f8f2878,6acc5385a15c441abe050fc7abda50bf,delivered,2018-06-09 01:13:00,2018-06-14 19:32:00,2018-06-25,5.0
08af87fbe33eeebc7840433d94718046,2ed2d94955614ec3262ce7575ef997f9,shipped,2017-04-20 13:01:00,2017-05-13 00:00:00,2017-05-12,23.0
08d2474dd3622ba4e0992955a950810f,7e7c1cf8c1a7ae4149f5a2fc2b1b65b4,delivered,2018-01-27 11:13:00,2018-01-31 18:37:00,2018-02-14,4.0
08e83756399f8394bef75d0441b17b57,e36a621e869b643b15983fa8085eb541,delivered,2018-04-29 19:42:00,2018-06-13 12:32:00,2018-06-04,45.0
08fcde049d3ee404c83e486f4822a78e,f807403776737da279aba36583afa4df,delivered,2018-05-16 09:57:00,2018-05-21 15:52:00,2018-05-30,5.0
0914478fdcadbaa5c8c8b3442b4f28d2,56a9c159fffe93bdef88ffbf6e729712,delivered,2017-08-09 21:32:00,2017-08-14 14:13:00,2017-08-24,5.0
09224348db675e0c2a00ebe2bd9599db,82c199ce18d8d976f3029a4310e8ac5c,delivered,2017-07-13 22:27:00,2017-07-20 18:21:00,2017-07-26,7.0
09268d8b25dd31ae78b464efd453d069,456351381464fe44c74f85a122d86839,delivered,2018-06-08 21:53:00,2018-06-14 21:41:00,2018-06-28,6.0
09ae30c3aa82707a515bda0df370f7d2,0cbd5dfde4c06bbe2960d2c0c95e5e7d,delivered,2018-04-15 21:34:00,2018-05-03 17:05:00,2018-05-09,18.0
09be8ba0b5c0e3195ef77302707a192f,320388520e5f7afe7c97489ea2732796,delivered,2018-07-01 22:16:00,2018-07-06 18:08:00,2018-07-26,5.0
09d1a6d95af99a860b37ed53fc9a3c2d,c6b7dcd3718d1ad87f069d32a8566ce2,delivered,2017-08-23 20:42:00,2017-09-04 22:35:00,2017-09-15,12.0
0ab7fb08086d4af9141453c91878ed7a,0b83f73b19c2019e182fd552c048a22c,delivered,2018-04-02 13:42:00,2018-04-13 20:21:00,2018-04-18,11.0
0ac51a16347f7a7497b799596ad5fab7,526807e2a25ea0db271efcc9fc646db1,delivered,2017-05-08 13:05:00,2017-05-18 14:13:00,2017-06-01,10.0
0b1bd7cdeb2d703ebe602a2989a86f9a,23af7ed42b446329e95c7645ba337f86,delivered,2017-08-21 21:09:00,2017-09-15 20:57:00,2017-09-25,25.0
0be2b6c22a3cd022d2986721e1faaafc,fb7321c807106363b749c783f41de4fc,delivered,2018-02-27 09:00:00,2018-03-08 17:39:00,2018-03-21,9.0
0c2c3c3a68e0c7184832879c6fe55a94,e3170caa179176b49f1265ffde5c27fc,delivered,2017-07-27 14:46:00,2017-08-07 22:39:00,2017-08-22,11.0
